Song,Artist,Genre,Likes,Reposts,Comments,Sound_Cloud_Link,SCUpload_Time,Snatched_on,Time_Difference
[FREE DL] BUNT - Clouds [KNTRLVRLST Rave Edit],KNTRLVRLST,Techno,3436,45,255,https://soundcloud.com/kntrlvrlst-music/bunt-clouds-kntrlvrlst-rave-edit,2023-05-17,2023-10-01,137.0
Benny Benassi - Satisfaction (FORBIDDEN Edit),ＭＴＲＰＬＳ,Techno,16000,"2,107",65,https://soundcloud.com/mtrplstechno/benny-benassi-satisfaction-forbidden-edit,2022-07-29,2023-10-01,429.0
Can You Feel My Heart (ALGØL Hard Techno Edit),ALGØL, ,3519,37,27,https://soundcloud.com/algoll/algol-can-you-feel-my-heart-mastered,2023-04-28,2023-10-01,156.0
Around The World (Hard Techno Remix) - TomorroWeDie,EDDE,Techno,454,8,7,https://soundcloud.com/user-563831911/around-the-world-hard-techno-remix-tomorrowedie,2023-05-03,2023-10-01,151.0
NOTMYTYPE - Missed Me,NOTMYTYPE Official,Techno,3871,212,207,https://soundcloud.com/notmytype030/notmytype-missed-me,2023-06-15,2023-10-01,108.0
Kevin D’Angello – Space Train (Extended Mix),Edm Beat,Techno,585,12,4,https://soundcloud.com/edm-beat-523183312/space-train-extended-mix,2023-06-21,2023-10-01,102.0
Xenx - Break The Urge (Bouncy Mix) [Dj Edit],Xenx,175,2,Repost, ,https://soundcloud.com/xenx_g/xenx-medal-of-honor-dj-edit,2023-10-01,2023-10-01,0.0
OGUZ & Vieze Asbak - FC Horsepower,OGUZ,Techno,12300,137,90,https://soundcloud.com/oguz808/oguz-vieze-asbak-fc-horsepower,2022-08-26,2023-10-01,401.0
XRTN - Hit The Floor,XRTN,Techno,14200,190,72,https://soundcloud.com/xrtn-techno/hit-the-floor,2022-11-04,2023-10-01,331.0
Cluster Bomb,USH,Hardtechno,22900,291,280,https://soundcloud.com/ushtechno/cluster-bomb,2023-01-19,2023-10-01,255.0
Real Lies,APHØTIC,Techno,13500,194,96,https://soundcloud.com/aphotic_music/aphotic-real-lies,2022-10-12,2023-10-01,354.0
Bollmann - Rampage,Nulleins Records,Techno,27900,611,335,https://soundcloud.com/nulleinsrec/bollmann-rampage,2020-08-14,2023-10-01,1143.0
Pash - She Is A Fucking Techno Girl,Pash,Techno,10400,181,67,https://soundcloud.com/pash_pascal/pash-she-is-a-fucking-techno-1,2023-01-13,2023-10-01,261.0
Bump Up The Bass (ft. A B P) [002],ØTJE,Techno,7304,101,122,https://soundcloud.com/jasperotje/bump-up-the-bass-otje-a-b-p,2023-02-17,2023-10-01,226.0
Toni Alvarez - 3TYX (Original Mix),DSR Digital / DOPE,Hard Techno,4,2, ,https://soundcloud.com/dsrdigital/toni-alvarez-3tyx-original-2,2023-10-01,2023-10-01,0.0
DTKØ & Fantasm - Feel Our Pain,DTKØ, ,11100,147,57,https://soundcloud.com/dtko/dtko-fantasm-feel-our-pain-1,2023-03-24,2023-10-01,191.0
ANSBRO - Audio Bully (Original mix),Unfaced,Techno,9328,124,76,https://soundcloud.com/unfacedbxl/ansbro-audio-bully,2023-03-02,2023-10-01,213.0
753 & USH - Blast Crasher [Free Download],753,Hardtechno,8625,"1,191","1,423",https://soundcloud.com/753codemusic/x-ush-blast-crasher,2023-06-01,2023-10-01,122.0
"FREE DL | Toxic Machinery, ÆRES, MOROS - Chamber Of Death (LS41 Industrial Take)",Toxic Machinery, ,9262,724,859,https://soundcloud.com/toxicmachinery/toxic-machinery-aeres-moros,2023-04-11,2023-10-01,173.0
REGFOY - Viewer Discretion Advised,Normative,Industrial techno,14500,212,88,https://soundcloud.com/technonormative/regfoy-viewer-discretion-advised,2021-02-04,2023-10-01,969.0
GOLDEN SZN & Nyctonian,OGUZ,Techno,16900,332,256,https://soundcloud.com/oguz808/golden-szn,2022-09-15,2023-10-01,381.0
WHAT THE FXCK - PER PLEKS,PJST RAVE,Techno,11400,85,61,https://soundcloud.com/user-508034568/what-the-fxck-per-pleks,2023-01-05,2023-10-01,269.0
